,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
406,Mini Plain Bagel,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",359.99,1.5,12.99,71.0
407,Zucchini Bread,"(may contain: peanuts, tree nuts)","Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Pure Cane Sugar, Zucchini, Soybean Salad Oil, Eggs, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Cinnamon, Salt, Potassium Sorbate",95.21,4.39,1.1,13.18
408,Raspberry Peach Danish,"(may contain: peanuts, tree nuts)","Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Milk, Butter|(Pasteurized Cream [Milk], Natural Flavors), Sugar, Yeast, Salt, Cream Cheese|(Pasteurized Cultured Milk and Cream, Salt, Stabilizers [Xanthan and/or Carob Bean and/or Guar Gums]), Pure Cane Sugar, Raspberries, Water, Eggs, Modified Food Stach, Corn Syrup, Glaze (Dextrose, Fruit Pectin, Fumaric Acid [Fortartness], Sodium Citrate)",180.0,10.0,3.0,18.0
409,Creamy Marinara Pasta with Lentil Penne,"Gluten-free lentil pasta in tomato sauce mellowed with butter and cream, topped with Parmesan cheese and basil","Gluten-free lentil penne pasta (red lentil flour, white rice, pea protein. Prepared in canola oil), house-made marinara sauce (tomatoes, tomato paste, yellow onion, red cooking wine, gluten-free vegetable broth [reconstituted vegetable juice blend {water and concentrated juices of carrot, celery, tomato}, maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor], canola oil, cornstarch, garlic, beet sugar, whole fennel seed, Italian seasoning, ground black pepper, Mediterranean oregano, basil), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), yellow onion, heavy whipping cream (heavy cream. Contains less than 1% of carrageenan), salted butter, canola/olive oil blend, garlic, fresh basil",64.67,0.93,2.29,9.61
410,Garlic Breadsticks,Golden brown breadsticks coated with a garlic herb oil and Parmesan cheese.,"Breadstick (enriched flour, water, palm oil, sugar. Contains 2% or less of: salt, yeast, wheat gluten, dextrose, guar gum, ethoxylated mono- and diglycerides, wheat starch, datem, defatted soy flour, enzymes, monoglyceride, ascorbic acid, azodicarbonamide, calcium peroxide). Prepared with canola oil garlic spread (natural oil blend [soybean, palm fruit, palm kernel and/or canola], garlic, water, sweet cream, buttermilk, salt. Contains 2% or less of: spice, soy lecithin, mono- and diglycerides, onion powder, potassium sorbate and sodium benzoate, citric acid, natural and artificial flavor, vitamin A palmitate, beta carotene, lactic acid)",100.0,3.5,3.0,15.0
411,Lamb Vindaloo,"Indian-style curried lamb simmered in coconut milk with cumin, turmeric & mustard; garnished with cilantro, served with rice (L)","Lamb vindaloo (Halal lamb, cumin, turmeric, dark chili powder, kosher salt), house vindaloo sauce (canola/olive oil blend, yellow onion, coconut milk, garlic, spicy brown mustard, red wine vinegar, cumin, turmeric, dark chili powder, kosher salt), fresh cilantro",682.55,65.86,19.46,7.63
412,Basmati Rice,Fluffy white basmati rice.,,93.22,0.17,1.82,20.42
413,Curry Chips,"England-inspired fries with Chinese-style curry sauce, pickled spicy peppers, and cilantro microgreens","Spicy waffle fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), house pickled pepper chips (red Fresno pepper, shallot, distilled vinegar, ginger, lime juice, kosher salt, ground black pepper), house curry sauce (gluten-free vegetable soup base [vegetables {onions, celery, carrots}, maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika], Huy Fong chili garlic sauce [chili, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite, xanthan gum], canola/olive oil blend, beet sugar, Kikkoman soy sauce [water, soybeans, wheat, salt, sodium benzoate], cornstarch, curry powder, Chinese five spice powder [anise, cinnamon, star anise, cloves, ginger, sulfiting agents], ground ginger, garlic powder), house coconut lime sauce (Tofutti vegan sour cream [water, expeller processed natural oil blend {soybean, palm fruit, olive} maltodextrin, soy protein, tofu, non-dairy lactic acid, organic sugar, blend of natural gums {locust bean, guar, cellulose, xanthan, carrageenan}, vegetable mono- and diglycerides], coconut milk, lime zest, vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], lime juice, organic agave nectar, garlic powder, kosher salt, fresh cilantro), cilantro microgreens, canola oil",496.3,34.96,4.17,44.44
414,Adobada Pork Taco,"Marinated pork taco with shredded cabbage slaw, tomatillo salsa, and crushed pork rinds",,308.6,15.71,30.83,19.38
415,Cheeseburger,"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.","Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)",495.67,32.33,28.01,29.86
416,Curry Jackfruit Burger,House made jackfruit burger with a tomato phesto aioli,"Curry jackfruit burger patty (raw jackfruit, garbanzo bean flour [garbanzo beans. Per manufacturer, processed in a facility that also processes wheat/gluten, tree nuts, dairy, egg, soy, and sesame], red onion, fresh cilantro, canola oil, iodized salt, ginger, ground black pepper, thickener [modified cornstarch, rice flour, corn oil. Per manufacturer, made on equipment that also processes soy, wheat, and dairy], dark chili powder, curry powder, turmeric, cumin), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide], calcium sulfate, enzymes, calcium propionate, sesame seeds), house tomato phesto"" aioli (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], house tomato ""phesto"" spread [canola/olive oil blend, house-made halal roasted tomato sauce [Roma tomatoes, pear tomatoes, extra virgin olive oil, canola/olive oil blend, garlic, iodized salt, fresh basil, beet sugar], yellow onion, walnuts, sundried tomatoes, red Fresno pepper, fresh parsley, beet sugar, iodized salt], lemon zest), lettuce, tomato, canola oil, red onion""",668.85,40.69,12.36,71.53
417,Curly Fries,Crispy curly fries lightly seasoned,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)",204.55,13.45,1.68,17.61
418,CHEF CHOICE SOUP,,([Placeholder] - all major allergens;),-1.0,-1.0,-1.0,-1.0
419,CHEF CHOICE SOUP,,([Placeholder] - all major allergens;),-1.0,-1.0,-1.0,-1.0
420,Spicy Vegan Chili,,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (contains mushroom), red wine vinegar, salt, dark chili pepper, canola oil, jalapeno, garlic, ground black pepper, cayenne pepper, cumin, red Fresno pepper, Habanero pepper, Serrano pepper, canola/olive oil blend",3086.63,43.42,136.58,590.03
421,Seasonal Student Farm Roasted Vegetable Salad,"House pasta salad featuring roasted student farm vegetables, house tomato vinaigrette and local tochetti pasta","FG CSC Dressing Vinaigrette Tomato Basil (CANOLA/OLIVE OIL BLEND;Vinegar, Rice, Natural;PRECUT, Tomato, Diced, 1/2in;SUGAR;Herb, Basil;SALT;GARLIC;GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);",108.59,4.32,2.59,14.96
422,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
423,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
424,CHEF CHOICE SALAD,,,-1.0,-1.0,-1.0,-1.0
425,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
426,Muhammara,A Middle Eastern spread made with roasted peppers and walnuts,"Red Bell Pepper, Garlic, Walnuts, Canola/Olive Oil Blend, Pomegranate Molasses, Panko Breadcrumbs, Salt, Ground Cumin, Crushed Red Pepper",82.85,6.13,1.06,7.0
427,Black Bean Dip,"Flavor-packed bean spread with tomatoes, onions, peppers, garlic, and lemon juice",,30.47,1.04,1.44,4.09
428,Tuxedo Truffle Mousse Cake,"Per manufacturer, may contain peanuts and tree nuts.","Cream, sugar, liquid whole eggs, semi-sweet chocolate (sugar, chocolate liquor, cocoa butter, soy lecithin, natural flavor), enriched wheat flour, water, cream cheese, canola oil, white chocolate (sugar, cocoa butter, whole milk powder, soy lecithin, natural flavor), icing sugar (sugar, corn starch), sour cream, corn syrup, skim milk powder, baking powder, modified corn starch, cocoa powder, margarine (modified palm oil, modified palm kernel oil, canola oil, water, salt, whey powder, vegetable monoglycerides, soy lecithin, citric acid, natural flavor, vitamin A palmitate, beta-carotene, vitamin D3), white chocolatey coating (sugar, modified palm kernel oil, whey powder, skim milk powder, soy lecithin, natural flavor), chocolatey coating (sugar, modified palm kernel oil, cocoa powder, whey powder, skim milk powder, soy lecithin, natural flavor), blackstrap molasses, fancy molasses, salt, sodium bicarbonate, alginate blend, dried egg whites, natural flavor. May contain peanuts and tree nuts",403.2,26.88,5.38,38.98
429,Oatmeal Cookie,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",360.0,14.0,6.0,52.0
